rank,data,discretized_data,our u,our weights,std_our weights
0,.,.,.,.,.
1,145814.0,1804739878.0,-6187.5,0.0,0.0
2,148032.0,1832192064.0,-6186.5,0.0,0.0
3,151481.0,1874880337.0,-6185.5,0.0,0.0
4,151583.0,1876142791.0,-6184.5,0.0,0.0
5,154229.0,1908892333.0,-6183.5,0.0,0.0
6,161769.0,2002214913.0,-6182.5,0.0,0.0
7,165494.0,2048319238.0,-6181.5,0.0,0.0
8,165846.0,2052675942.0,-6180.5,0.0,0.0
9,167294.0,2070597838.0,-6179.5,0.0,0.0
10,167526.0,2073469302.0,-6178.5,0.0,0.0
11,169209.0,2094299793.0,-6177.5,0.0,0.0
12,169235.0,2094621595.0,-6176.5,0.0,0.0
13,169881.0,2102617137.0,-6175.5,0.0,0.0
14,170571.0,2111157267.0,-6174.5,0.0,0.0
15,171474.0,2122333698.0,-6173.5,0.0,0.0
16,171602.0,2123917954.0,-6172.5,0.0,0.0
17,172086.0,2129908422.0,-6171.5,0.0,0.0
18,172727.0,2137842079.0,-6170.5,0.0,0.0
19,172898.0,2139958546.0,-6169.5,0.0,0.0
20,173213.0,2143857301.0,-6168.5,0.0,0.0
21,173665.0,2149451705.0,-6167.5,0.0,0.0
22,173675.0,2149575475.0,-6166.5,0.0,0.0
23,173967.0,2153189559.0,-6165.5,0.0,0.0
24,174158.0,2155553566.0,-6164.5,0.0,0.0
25,174444.0,2159093388.0,-6163.5,0.0,0.0
26,175152.0,2167856304.0,-6162.5,0.0,0.0
27,176056.0,2179045112.0,-6161.5,0.0,0.0
28,176090.0,2179465930.0,-6160.5,0.0,0.0
29,176200.0,2180827400.0,-6159.5,0.0,0.0
30,176438.0,2183773126.0,-6158.5,0.0,0.0
31,176483.0,2184330091.0,-6157.5,0.0,0.0
32,176544.0,2185085088.0,-6156.5,0.0,0.0
33,177217.0,2193414809.0,-6155.5,0.0,0.0
34,177267.0,2194033659.0,-6154.5,0.0,0.0
35,177929.0,2202227233.0,-6153.5,0.0,0.0
36,178433.0,2208465241.0,-6152.5,0.0,0.0
37,179088.0,2216572176.0,-6151.5,0.0,0.0
38,179176.0,2217661352.0,-6150.5,0.0,0.0
39,179185.0,2217772745.0,-6149.5,0.0,0.0
40,179206.0,2218032662.0,-6148.5,0.0,0.0
41,179228.0,2218304956.0,-6147.5,0.0,0.0
42,179388.0,2220285276.0,-6146.5,0.0,0.0
43,179440.0,2220928880.0,-6145.5,0.0,0.0
44,179950.0,2227241150.0,-6144.5,0.0,0.0
45,180091.0,2228986307.0,-6143.5,0.0,0.0
46,180111.0,2229233847.0,-6142.5,0.0,0.0
47,180299.0,2231560723.0,-6141.5,0.0,0.0
48,180696.0,2236474392.0,-6140.5,0.0,0.0
49,180777.0,2237476929.0,-6139.5,0.0,0.0
50,180854.0,2238429958.0,-6138.5,0.0,0.0
51,181035.0,2240670195.0,-6137.5,0.0,0.0
52,181065.0,2241041505.0,-6136.5,0.0,0.0
53,181151.0,2242105927.0,-6135.5,0.0,0.0
54,181232.0,2243108464.0,-6134.5,0.0,0.0
55,181285.0,2243764445.0,-6133.5,0.0,0.0
56,181323.0,2244234771.0,-6132.5,0.0,0.0
57,181720.0,2249148440.0,-6131.5,0.0,0.0
58,181916.0,2251574332.0,-6130.5,0.0,0.0
59,182165.0,2254656205.0,-6129.5,0.0,0.0
60,182223.0,2255374071.0,-6128.5,0.0,0.0
61,182675.0,2260968475.0,-6127.5,0.0,0.0
62,182813.0,2262676501.0,-6126.5,0.0,0.0
63,182934.0,2264174118.0,-6125.5,0.0,0.0
64,182980.0,2264743460.0,-6124.5,0.0,0.0
65,183247.0,2268048119.0,-6123.5,0.0,0.0
66,183249.0,2268072873.0,-6122.5,0.0,0.0
67,183294.0,2268629838.0,-6121.5,0.0,0.0
68,183359.0,2269434343.0,-6120.5,0.0,0.0
69,183637.0,2272875149.0,-6119.5,0.0,0.0
70,183798.0,2274867846.0,-6118.5,0.0,0.0
71,183845.0,2275449565.0,-6117.5,0.0,0.0
72,183956.0,2276823412.0,-6116.5,0.0,0.0
73,184091.0,2278494307.0,-6115.5,0.0,0.0
74,184602.0,2284818954.0,-6114.5,0.0,0.0
75,184641.0,2285301657.0,-6113.5,0.0,0.0
76,184653.0,2285450181.0,-6112.5,0.0,0.0
77,184684.0,2285833868.0,-6111.5,0.0,0.0
78,184770.0,2286898290.0,-6110.5,0.0,0.0
79,185100.0,2290982700.0,-6109.5,0.0,0.0
80,185503.0,2295970631.0,-6108.5,0.0,0.0
81,185673.0,2298074721.0,-6107.5,0.0,0.0
82,186356.0,2306528212.0,-6106.5,0.0,0.0
83,186388.0,2306924276.0,-6105.5,0.0,0.0
84,186461.0,2307827797.0,-6104.5,0.0,0.0
85,186666.0,2310365082.0,-6103.5,0.0,0.0
86,186714.0,2310959178.0,-6102.5,0.0,0.0
87,186848.0,2312617696.0,-6101.5,0.0,0.0
88,186916.0,2313459332.0,-6100.5,0.0,0.0
89,187023.0,2314783671.0,-6099.5,0.0,0.0
90,187211.0,2317110547.0,-6098.5,0.0,0.0
91,187249.0,2317580873.0,-6097.5,0.0,0.0
92,187615.0,2322110855.0,-6096.5,0.0,0.0
93,187620.0,2322172740.0,-6095.5,0.0,0.0
94,187676.0,2322865852.0,-6094.5,0.0,0.0
95,187897.0,2325601169.0,-6093.5,0.0,0.0
96,187954.0,2326306658.0,-6092.5,0.0,0.0
97,187968.0,2326479936.0,-6091.5,0.0,0.0
98,187992.0,2326776984.0,-6090.5,0.0,0.0
99,188065.0,2327680505.0,-6089.5,0.0,0.0
100,188130.0,2328485010.0,-6088.5,0.0,0.0
101,188262.0,2330118774.0,-6087.5,0.0,0.0
102,188496.0,2333014992.0,-6086.5,0.0,0.0
103,188684.0,2335341868.0,-6085.5,0.0,0.0
104,188766.0,2336356782.0,-6084.5,0.0,0.0
105,188847.0,2337359319.0,-6083.5,0.0,0.0
106,189164.0,2341282828.0,-6082.5,0.0,0.0
107,189297.0,2342928969.0,-6081.5,0.0,0.0
108,189390.0,2344080030.0,-6080.5,0.0,0.0
109,189573.0,2346345021.0,-6079.5,0.0,0.0
110,189642.0,2347199034.0,-6078.5,0.0,0.0
111,189762.0,2348684274.0,-6077.5,0.0,0.0
112,189779.0,2348894683.0,-6076.5,0.0,0.0
113,189945.0,2350949265.0,-6075.5,0.0,0.0
114,189946.0,2350961642.0,-6074.5,0.0,0.0
115,190006.0,2351704262.0,-6073.5,0.0,0.0
116,190041.0,2352137457.0,-6072.5,0.0,0.0
117,190121.0,2353127617.0,-6071.5,0.0,0.0
118,190123.0,2353152371.0,-6070.5,0.0,0.0
119,190223.0,2354390071.0,-6069.5,0.0,0.0
120,190255.0,2354786135.0,-6068.5,0.0,0.0
121,190259.0,2354835643.0,-6067.5,0.0,0.0
122,190322.0,2355615394.0,-6066.5,0.0,0.0
123,190362.0,2356110474.0,-6065.5,0.0,0.0
124,190653.0,2359712181.0,-6064.5,0.0,0.0
125,190773.0,2361197421.0,-6063.5,0.0,0.0
126,190776.0,2361234552.0,-6062.5,0.0,0.0
127,190809.0,2361642993.0,-6061.5,0.0,0.0
128,190920.0,2363016840.0,-6060.5,0.0,0.0
129,190999.0,2363994623.0,-6059.5,0.0,0.0
130,191174.0,2366160598.0,-6058.5,0.0,0.0
131,191198.0,2366457646.0,-6057.5,0.0,0.0
132,191477.0,2369910829.0,-6056.5,0.0,0.0
133,191482.0,2369972714.0,-6055.5,0.0,0.0
134,191708.0,2372769916.0,-6054.5,0.0,0.0
135,191748.0,2373264996.0,-6053.5,0.0,0.0
136,191774.0,2373586798.0,-6052.5,0.0,0.0
137,191834.0,2374329418.0,-6051.5,0.0,0.0
138,192189.0,2378723253.0,-6050.5,0.0,0.0
139,192367.0,2380926359.0,-6049.5,0.0,0.0
140,192405.0,2381396685.0,-6048.5,0.0,0.0
141,192563.0,2383352251.0,-6047.5,0.0,0.0
142,192590.0,2383686430.0,-6046.5,0.0,0.0
143,192713.0,2385208801.0,-6045.5,0.0,0.0
144,192969.0,2388377313.0,-6044.5,0.0,0.0
145,192979.0,2388501083.0,-6043.5,0.0,0.0
