b_intervals,utilities,weights
"(1, 35002)",-664.0,8.985825944049381e-37
"(35002, 35003)",-663.0,1.018227476802731e-36
"(35003, 35004)",-662.0,1.1538028902091525e-36
"(35004, 35005)",-661.0,1.3074299601845343e-36
"(35005, 35006)",-660.0,1.4815122368763274e-36
"(35006, 35007)",-659.0,1.678773299415984e-36
"(35007, 35008)",-658.0,1.9022993672831142e-36
"(35008, 35009)",-657.0,2.1555875853068635e-36
"(35009, 35010)",-656.0,2.4426007377405277e-36
"(35010, 35011)",-655.0,2.7678292474305675e-36
"(35011, 35012)",-654.0,3.136361430079066e-36
"(35012, 35013)",-653.0,3.5539631027525527e-36
"(35013, 35014)",-652.0,4.027167792140633e-36
"(35014, 35015)",-651.0,4.563378953904705e-36
"(35015, 35016)",-650.0,5.170985802374828e-36
"(35016, 35017)",-649.0,5.859494562791559e-36
"(55406, 80210)",-648.0,6.639677199580735e-36
"(80210, 80211)",-647.0,7.523739947567986e-36
"(80211, 80212)",-646.0,8.52551428286375e-36
"(80212, 80213)",-645.0,9.66067332122619e-36
"(80213, 80214)",-644.0,1.0946977029531417e-35
"(80214, 80215)",-643.0,1.2404550086771608e-35
"(80215, 80216)",-642.0,1.4056196741815211e-35
"(80216, 80217)",-641.0,1.5927757593990872e-35
"(80217, 80218)",-640.0,1.8048513878454153e-35
"(80218, 80219)",-639.0,2.0451645581525467e-35
"(80219, 80220)",-638.0,2.3174750553376578e-35
"(80220, 80221)",-637.0,2.626043273976825e-35
"(80221, 80222)",-636.0,2.9756968735933825e-35
"(80222, 80223)",-635.0,3.3719063091081326e-35
"(80223, 80224)",-634.0,3.820870418052153e-35
"(80224, 80225)",-633.0,4.3296134035845953e-35
"(80225, 80226)",-632.0,4.906094730649281e-35
"(80226, 80227)",-631.0,5.55933365463454e-35
"(80227, 80228)",-630.0,6.299550330831476e-35
"(100617, 125421)",-629.0,7.1383257123983e-35
"(125421, 125422)",-628.0,8.088782738491285e-35
"(125422, 125423)",-627.0,9.165791647315047e-35
"(125423, 125424)",-626.0,1.0386202626287881e-34
"(125424, 125425)",-625.0,1.1769109439216723e-34
"(125425, 125426)",-624.0,1.3336148155022614e-34
"(125426, 125427)",-623.0,1.5111835651733884e-34
"(125427, 125428)",-622.0,1.7123953191762365e-34
"(125428, 125429)",-621.0,1.9403981069634266e-34
"(125429, 125430)",-620.0,2.1987591132394053e-34
"(125430, 125431)",-619.0,2.491520487833819e-34
"(125431, 125432)",-618.0,2.8232625865731966e-34
"(125432, 125433)",-617.0,3.1991756325768644e-34
"(125433, 125434)",-616.0,3.6251409191435593e-34
"(125434, 125435)",-615.0,4.107822824676777e-34
"(125435, 125436)",-614.0,4.654773079255091e-34
"(125436, 125437)",-613.0,5.274548914135014e-34
"(125437, 125438)",-612.0,5.976846942677399e-34
"(125438, 125439)",-611.0,6.772654867312086e-34
"(145828, 170627)",-610.0,7.674423386050202e-34
"(170627, 170628)",-609.0,8.696260988082661e-34
"(170628, 170629)",-608.0,9.854154686111257e-34
"(170629, 170630)",-607.0,1.116622013884819e-33
"(170630, 170631)",-606.0,1.265298507693947e-33
"(170631, 170632)",-605.0,1.4337710466611597e-33
"(170632, 170633)",-604.0,1.6246754435760975e-33
"(170633, 170634)",-603.0,1.8409984656239148e-33
"(170634, 170635)",-602.0,2.08612456342014e-33
"(170635, 170636)",-601.0,2.36388882194424e-33
"(170636, 170637)",-600.0,2.6786369618080778e-33
"(170637, 170638)",-599.0,3.035293329600447e-33
"(170638, 170639)",-598.0,3.4394379410408036e-33
"(170639, 170640)",-597.0,3.897393782309736e-33
"(170640, 170641)",-596.0,4.4163257354165454e-33
"(170641, 170642)",-595.0,5.004352675326472e-33
